@0	0000000000000009
@1	0000000000000008
@2	0000000000000007
@3	0000000000000006
@4	0000000000000005
@5	0000000000000004
@6	0000000000000003
@7	0000000000000002
@8	0000000000000001
@9	0000000000000000
@a	0000000000000000
@b	0000000000000000
@c	0000000000000000
@d	0000000000000000
@e	0000000000000000
@f	0000000000000000
@10	0000000000000000
@11	0000000000000000
@12	0000000000000000
@13	0000000000000000
@14	0000000000000000
@15	0000000000000000
@16	0000000000000000
@17	0000000000000000
@18	0000000000000000
@19	0000000000000000
@1a	0000000000000000
@1b	0000000000000000
@1c	0000000000000000
@1d	0000000000000000
@1e	0000000000000000
@1f	0000000000000000
